created_at,session_id,user_text,detected_lang,intent,confidence,response,response_source,retrieval_intent,entity_label,model_key,requested_model_key,auto_switched,review_status,corrected_intent,admin_notes
2026-04-18 13:15:48.698228+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,How do I read CBC report?,en,report_structure_help,0.984233558177948,"A CBC report is usually read by checking the parameter name, the measured result, the unit, and the reference range, then noting any H or L markers and analyzer flags. WBC, RBC, and platelet sections should be reviewed separately before looking at combined patterns.",retrieval,report_structure_help,cbc_report_layout,report,report,False,unreviewed,,
2026-04-18 13:15:34.262446+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,How do I read this CBC report?,en,report_structure_help,0.9893927574157715,"A CBC report is usually read by checking the parameter name, the measured result, the unit, and the reference range, then noting any H or L markers and analyzer flags. WBC, RBC, and platelet sections should be reviewed separately before looking at combined patterns.",retrieval,report_structure_help,cbc_report_layout,report,general,True,unreviewed,,
2026-04-18 13:08:30.556452+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What happens if citrate tube is underfilled?,en,coag_test,0.9983431100845337,An underfilled citrate tube changes the blood-to-anticoagulant ratio and can falsely prolong PT and aPTT results. Most laboratories reject or recollect underfilled coagulation specimens.,retrieval,coag_test,citrate_tube,general,general,False,unreviewed,,
2026-04-18 13:08:27.157662+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is aPTT?,en,coag_test,0.9824192523956299,"aPTT, or activated partial thromboplastin time, evaluates the intrinsic and common coagulation pathways. It is used in coagulation screening and heparin-related monitoring workflows.",retrieval,coag_test,aptt,general,general,False,unreviewed,,
2026-04-17 12:50:30.056951+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What kinds of hematology questions can you answer?,en,capability_query,0.999455988407135,"I can answer hematology lab questions about CBC, CBC report parameters, blood-count flags, anemia-related terms, platelet abnormalities, differential results, coagulation tests, blood smear workflow, quality control, critical value reporting, and sample collection. I do not provide diagnosis, treatment, or patient-specific medical decisions.",static,,,general,general,False,unreviewed,,
2026-04-17 12:50:29.248268+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is hematology analyzer quality control?,en,quality_control,0.9966012239456177,"Hematology analyzer quality control means running control materials and confirming they are within acceptable range before releasing patient results. If QC fails, troubleshooting and documentation are required under SOP.",retrieval,quality_control,,general,general,False,unreviewed,,
2026-04-17 12:50:27.524115+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is a peripheral blood smear?,en,blood_smear,0.9983166456222534,"A peripheral blood smear is a stained blood film examined microscopically to assess red cell morphology, white cell morphology, platelets, and abnormal circulating elements.",retrieval,blood_smear,blood_smear,general,general,False,unreviewed,,
2026-04-17 12:50:16.120648+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is aPTT?,en,fallback,0.38352519273757935,"aPTT, or activated partial thromboplastin time, evaluates the intrinsic and common coagulation pathways. It is used in coagulation screening and heparin-related monitoring workflows.",retrieval,coag_test,aptt,general,general,False,unreviewed,,
2026-04-17 12:36:00.260839+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What can you do?,en,capability_query,0.8983554840087891,"I can answer hematology lab questions about CBC, CBC report parameters, blood-count flags, anemia-related terms, platelet abnormalities, differential results, coagulation tests, blood smear workflow, quality control, critical value reporting, and sample collection. I do not provide diagnosis, treatment, or patient-specific medical decisions.",static,,,general,,False,accepted,,
2026-04-17 12:35:54.892583+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,How is going,en,small_talk,1.0,"I am here and ready to help with hematology lab questions. If you want, ask me about CBC, report terms, coagulation tests, blood smear workflow, or sample handling.",static,,,general,,False,accepted,,
2026-04-17 12:35:48.906118+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,how,en,incomplete_query,1.0,"Your question is incomplete. Please ask a specific hematology lab question, for example: ""What is RBC count?"" or ""Which tube is used for coagulation tests?""",static,,,general,,False,accepted,,
2026-04-17 12:23:16.731370+06:30,,hi,en,greeting,1.0,Hello! How can I help you today?,static,,,general,,False,accepted,,
2026-04-17 12:23:16.672695+06:30,,how is going,en,small_talk,1.0,"I am here and ready to help with hematology lab questions. If you want, ask me about CBC, report terms, coagulation tests, blood smear workflow, or sample handling.",static,,,general,,False,accepted,,
2026-04-17 12:23:16.615548+06:30,,how are u,en,small_talk,1.0,"I am here and ready to help with hematology lab questions. If you want, ask me about CBC, report terms, coagulation tests, blood smear workflow, or sample handling.",static,,,general,,False,unreviewed,,
2026-04-17 12:17:46.268872+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,how is going,en,incomplete_query,0.848533570766449,"Your question is incomplete. Please ask a specific hematology lab question, for example: ""What is RBC count?"" or ""Which tube is used for coagulation tests?""",static,,,general,,False,unreviewed,,
2026-04-17 12:17:26.851669+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,hi,en,greeting,1.0,Hello! How can I help you today?,static,,,general,,False,unreviewed,,
2026-04-17 12:17:18.613750+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,how are u,en,incomplete_query,0.658272385597229,"Your question is incomplete. Please ask a specific hematology lab question, for example: ""What is RBC count?"" or ""Which tube is used for coagulation tests?""",static,,,general,,False,unreviewed,,
2026-04-17 12:15:50.771679+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,How should I label a CBC specimen?,en,sample_collection,0.9890052676200867,"Label the CBC specimen immediately with the required patient identifiers, collection time, and any local accession details defined in your laboratory SOP.",retrieval,sample_collection,labeling,general,,False,unreviewed,,
2026-04-17 12:15:41.643113+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,How many inversions are needed for an EDTA tube?,en,sample_collection,0.9977871179580688,"EDTA tubes are generally mixed immediately after collection using gentle inversions, commonly 8 to 10 times. Follow the tube manufacturer and lab SOP if they specify otherwise.",retrieval,sample_collection,edta_tube,general,,False,unreviewed,,
2026-04-17 12:15:29.925551+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What are the rejection criteria for a CBC sample?,en,sample_collection,0.9982954859733582,"Common CBC rejection criteria include wrong tube, unlabeled or mislabeled specimen, visible clotting, severe underfill, and excessive delay outside your lab's stability limits.",retrieval,sample_collection,cbc,general,,False,unreviewed,,
2026-04-17 12:11:57.348414+06:30,,Which tube is used for CBC?,en,sample_collection,0.9888955354690552,"CBC is typically collected in an EDTA tube, commonly the lavender-top tube. Follow your lab SOP for the approved tube type and fill requirements.",retrieval,sample_collection,cbc_tube_question,general,,False,unreviewed,,
2026-04-17 12:11:57.289634+06:30,,How long is a CBC sample stable?,en,sample_collection,0.9945275187492371,"CBC stability depends on analyzer, temperature, and local SOP. Use your laboratory's validated stability window for acceptance and reporting decisions.",retrieval,sample_collection,cbc,general,,False,unreviewed,,
2026-04-17 12:11:57.224477+06:30,,What should I do with a clotted EDTA sample?,en,sample_collection,0.9963570237159729,A clotted EDTA sample is generally unsuitable for CBC because clotting affects cell counts. Most labs reject the sample and request recollection according to SOP.,retrieval,sample_collection,edta_tube,general,,False,unreviewed,,
2026-04-17 12:11:57.162150+06:30,,What are the rejection criteria for a CBC sample?,en,sample_collection,0.9982954859733582,"Common CBC rejection criteria include wrong tube, unlabeled or mislabeled specimen, visible clotting, severe underfill, and excessive delay outside your lab's stability limits.",retrieval,sample_collection,cbc,general,,False,unreviewed,,
2026-04-17 12:03:21.203120+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What are the rejection criteria for a CBC sample?,en,sample_collection,0.9982954859733582,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,general,,False,unreviewed,,
2026-04-17 12:03:16.199794+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,Which tube is used for CBC?,en,sample_collection,0.9888955354690552,"CBC is typically collected in an EDTA tube, commonly the lavender-top tube. Follow your lab SOP for the approved tube type and fill requirements.",retrieval,sample_collection,cbc_tube_question,general,,False,unreviewed,,
2026-04-17 12:02:53.376289+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,Which tube is used for CBC?,en,sample_collection,0.9888955354690552,"CBC is typically collected in an EDTA tube, commonly the lavender-top tube. Follow your lab SOP for the approved tube type and fill requirements.",retrieval,sample_collection,cbc_tube_question,general,,False,unreviewed,,
2026-04-17 12:02:27.323691+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,Which tube is used for CBC?,en,cbc_info,0.9553821682929993,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,report,,False,unreviewed,,
2026-04-17 12:00:06.796929+06:30,,Which tube is used for CBC?,en,sample_collection,0.9888955354690552,"CBC is typically collected in an EDTA tube, commonly the lavender-top tube. Follow your lab SOP for the approved tube type and fill requirements.",retrieval,sample_collection,cbc_tube_question,general,,False,unreviewed,,
2026-04-17 11:56:36.328809+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,Which tube is used for CBC?,en,sample_collection,0.9888955354690552,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,general,,False,unreviewed,,
2026-04-17 11:56:28.691024+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,Which tube is used for CBC?,en,cbc_info,0.9553821682929993,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,report,,False,unreviewed,,
2026-04-17 11:56:17.770538+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is a CBC?,en,cbc_info,0.9976713061332703,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,report,,False,unreviewed,,
2026-04-17 11:56:04.994369+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is HCT in this report?,en,cbc_result_parameter,0.9792962074279785,"Hematocrit, often written as HCT, is the proportion of blood volume occupied by red blood cells. It is interpreted together with hemoglobin and RBC count.",retrieval,cbc_result_parameter,hematocrit_parameter,report,,False,unreviewed,,
2026-04-17 11:18:34.372216+06:30,,What is HCT in this report?,en,cbc_result_parameter,0.9792962074279785,"Hematocrit, often written as HCT, is the proportion of blood volume occupied by red blood cells. It is interpreted together with hemoglobin and RBC count.",retrieval,cbc_result_parameter,hematocrit_parameter,report,,False,unreviewed,,
2026-04-17 11:18:34.283272+06:30,,What is HCT in this report?,en,cbc_result_parameter,0.9792962074279785,"Hematocrit, often written as HCT, is the proportion of blood volume occupied by red blood cells. It is interpreted together with hemoglobin and RBC count.",retrieval,cbc_result_parameter,hematocrit_parameter,report,,False,unreviewed,,
2026-04-17 11:17:27.804399+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is HCT in this report?,en,cbc_result_parameter,0.9792962074279785,"Hematocrit, often written as HCT, is the proportion of blood volume occupied by red blood cells. It is interpreted together with hemoglobin and RBC count.",retrieval,cbc_result_parameter,hematocrit_parameter,report,,False,unreviewed,,
2026-04-17 11:17:12.633953+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is HCT in this report?,en,unsafe_medical_request,0.7270009517669678,"I cannot provide treatment, injection, prescribing, or patient-specific medical instructions. Please consult a licensed clinician and follow your institution's medical protocols.",static,,,general,,False,unreviewed,,
2026-04-17 11:16:24.206813+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is platelet count?,en,cbc_info,0.6101778745651245,"Platelet count measures the number of platelets in the blood. It is important when assessing clotting risk, bleeding tendency, and marrow function.",retrieval,cbc_info,platelet,report,,False,unreviewed,,
2026-04-17 11:16:08.388945+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What does INR mean?,en,cbc_info,0.6385996341705322,INR is the standardized reporting form of prothrombin time. It is widely used when following oral anticoagulation with warfarin.,retrieval,coag_test,inr,general,,False,unreviewed,,
2026-04-17 11:08:05.712627+06:30,,Which tube is used for coagulation tests?,en,coag_test,0.9978919625282288,Routine coagulation tests are usually collected in a light-blue sodium citrate tube. Correct fill volume is critical because the blood-to-anticoagulant ratio affects PT and aPTT results.,retrieval,coag_test,,general,,False,unreviewed,,
2026-04-17 11:08:05.620593+06:30,,How do I read this CBC report?,en,report_structure_help,0.9692068099975586,"A CBC report is usually read by checking the parameter name, the measured result, the unit, and the reference range, then noting any H or L markers and analyzer flags. WBC, RBC, and platelet sections should be reviewed separately before looking at combined patterns.",retrieval,report_structure_help,cbc_report_layout,report,,False,unreviewed,,
2026-04-17 11:03:53.254431+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,Which tube is used for coagulation tests?,en,coag_test,0.9978919625282288,Routine coagulation tests are usually collected in a light-blue sodium citrate tube. Correct fill volume is critical because the blood-to-anticoagulant ratio affects PT and aPTT results.,retrieval,coag_test,,general,,False,unreviewed,,
2026-04-17 11:03:24.987717+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,How do I read this CBC report?,en,report_structure_help,0.9692068099975586,"A CBC report is usually read by checking the parameter name, the measured result, the unit, and the reference range, then noting any H or L markers and analyzer flags. WBC, RBC, and platelet sections should be reviewed separately before looking at combined patterns.",retrieval,report_structure_help,cbc_report_layout,report,,False,unreviewed,,
2026-04-17 11:02:48.063130+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is platelet count?,en,cbc_info,0.6101778745651245,"Platelet count measures the number of platelets in the blood. It is important when assessing clotting risk, bleeding tendency, and marrow function.",retrieval,cbc_info,platelet,report,,False,unreviewed,,
2026-04-17 11:02:39.599787+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,Which tube is used for CBC?,en,cbc_info,0.9553821682929993,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,report,,False,unreviewed,,
2026-04-17 11:02:33.659741+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is a CBC?,en,cbc_info,0.9971951246261597,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,general,,False,unreviewed,,
2026-04-15 22:19:45.313410+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is Westgard rule in simple terms?,en,quality_control,0.9882282614707947,Westgard rules are decision rules used to judge whether quality control results are acceptable or suggest analytical error. They help determine when a run should be accepted or rejected.,retrieval,quality_control,,default,,False,unreviewed,,
2026-04-15 22:19:39.015570+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is Levy Jennings chart in lab QC?,en,quality_control,0.9964569211006165,"A Levy-Jennings chart plots QC values over time against a target mean and control limits. It helps detect trends, shifts, and out-of-control events.",retrieval,quality_control,,default,,False,unreviewed,,
2026-04-15 22:19:33.859137+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What should be done if QC fails?,en,quality_control,0.9954872727394104,"If QC fails, stop releasing patient results, investigate possible causes such as reagent, maintenance, or instrument issues, correct the problem, rerun QC, and document all actions according to SOP.",retrieval,quality_control,,default,,False,unreviewed,,
2026-04-15 22:19:27.033516+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is hematology analyzer quality control?,en,quality_control,0.9806884527206421,"Hematology analyzer quality control means running control materials and confirming they are within acceptable range before releasing patient results. If QC fails, troubleshooting and documentation are required under SOP.",retrieval,quality_control,,default,,False,unreviewed,,
2026-04-15 22:12:04.908547+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What kinds of hematology questions can you answer?,en,capability_query,0.9973123073577881,"I can answer hematology lab questions about CBC, RBC and WBC terms, platelet terms, coagulation tests, blood smear workflow, quality control, critical value reporting, and sample collection. I do not provide diagnosis, treatment, or patient-specific medical decisions.",static,,,default,,False,accepted,,
2026-04-15 22:12:03.144307+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is hematology analyzer quality control?,en,quality_control,0.9806884527206421,"Hematology analyzer quality control means running control materials and confirming they are within acceptable range before releasing patient results. If QC fails, troubleshooting and documentation are required under SOP.",retrieval,quality_control,,default,,False,accepted,,
2026-04-15 22:12:01.213663+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is a CBC?,en,cbc_info,0.9971951246261597,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,default,,False,accepted,,
2026-04-15 22:11:59.850431+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,Which tube is used for CBC?,en,sample_collection,0.9888955354690552,"A CBC, or complete blood count, is a routine hematology test that reports red blood cells, white blood cells, hemoglobin, hematocrit, platelets, and key red cell indices.",retrieval,cbc_info,cbc,default,,False,accepted,,
2026-04-15 22:11:58.390184+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is aPTT?,en,coag_test,0.8354882001876831,"aPTT, or activated partial thromboplastin time, evaluates the intrinsic and common coagulation pathways. It is used in coagulation screening and heparin-related monitoring workflows.",retrieval,coag_test,aptt,default,,False,accepted,,
2026-04-15 21:57:08.908303+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,How to inject human body,en,unsafe_medical_request,1.0,"I cannot provide treatment, injection, prescribing, or patient-specific medical instructions. Please consult a licensed clinician and follow your institution's medical protocols.",static,,,default,,False,accepted,,
2026-04-15 21:55:23.837827+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,How do you prepare a blood film?,en,blood_smear,0.9985187649726868,"A peripheral blood smear is a stained blood film examined microscopically to assess red cell morphology, white cell morphology, platelets, and abnormal circulating elements.",retrieval,blood_smear,blood_smear,default,,False,accepted,,ok
2026-04-15 21:54:32.190996+06:30,f341d4c0-4330-4b24-a566-1698d456aaed,What is a peripheral blood smear?,en,blood_smear,0.9912529587745667,"A peripheral blood smear is a stained blood film examined microscopically to assess red cell morphology, white cell morphology, platelets, and abnormal circulating elements.",retrieval,blood_smear,blood_smear,default,,False,accepted,,
